ModelName,dark,Test_Accuracy,Test_Precision,Test_Recall,Test_F1-score,ExDark_test_Accuracy,ExDark_test_Precision,ExDark_test_Recall,ExDark_test_F1-score,ExDark_Accuracy,ExDark_Precision,ExDark_Recall,ExDark_F1-score,level1_Accuracy,level1_Precision,level1_Recall,level1_F1-score,level2_Accuracy,level2_Precision,level2_Recall,level2_F1-score,level3_Accuracy,level3_Precision,level3_Recall,level3_F1-score,level4_Accuracy,level4_Precision,level4_Recall,level4_F1-score,Test_Accuracy,Test_Precision,Test_Recall,Test_F1-score,ExDark_test_Accuracy
EfficientNetV2B0_GS7,20,0.791,0.821,0.789,0.789,,,EfficientNetV2B0_GS7,20,4.10%,3.40%,4.10%,3.70%,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS26,40,0.804,0.822,0.803,0.805,,,EfficientNetV2B0_GS26,40,5.40%,3.50%,5.50%,5.30%,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS15,60,0.827,0.847,0.825,0.827,,,EfficientNetV2B0_GS15,60,7.70%,6.00%,7.70%,7.50%,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS28,80,0.793,0.819,0.792,0.793,,,EfficientNetV2B0_GS28,80,4.30%,3.20%,4.40%,4.10%,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS29,100,0.808,0.829,0.806,0.808,,,EfficientNetV2B0_GS29,100,5.80%,4.20%,5.80%,5.60%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModelName,Ratio (Normal/Dark),level3_Accuracy,level3_Precision,level3_Recall,level3_F1-score,,,ModelName,dark,level3_Accuracy,level3_Precision,level3_Recall,level3_F1-score,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS6,0,0.51,0.601,0.505,0.514,,,EfficientNetV2B0_GS6,0,0.51,0.601,0.505,0.514,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS7,20,0.579,0.686,0.575,0.581,,,EfficientNetV2B0_GS7,20,6.90%,8.50%,7.00%,6.70%,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS26,40,0.62,0.676,0.617,0.625,,,EfficientNetV2B0_GS26,40,11.00%,7.50%,11.20%,11.10%,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS15,60,0.645,0.712,0.642,0.646,,,EfficientNetV2B0_GS15,60,13.50%,11.10%,13.70%,13.20%,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS28,80,0.651,0.708,0.648,0.651,,,EfficientNetV2B0_GS28,80,14.10%,10.70%,14.30%,13.70%,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS29,100,0.64,0.679,0.637,0.638,,,EfficientNetV2B0_GS29,100,13.00%,7.80%,13.20%,12.40%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModelName,Ratio (Normal/Dark),level4_Accuracy,level4_Precision,level4_Recall,level4_F1-score,,,ModelName,dark,level4_Accuracy,level4_Precision,level4_Recall,level4_F1-score,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS6,0,0.36,0.484,0.354,0.353,,,EfficientNetV2B0_GS6,0,0.36,0.484,0.354,0.353,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS7,20,0.401,0.578,0.394,0.402,,,EfficientNetV2B0_GS7,20,4.10%,9.40%,4.00%,4.90%,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS26,40,0.479,0.579,0.474,0.483,,,EfficientNetV2B0_GS26,40,11.90%,9.50%,12.00%,13.00%,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS15,60,0.48,0.61,0.474,0.484,,,EfficientNetV2B0_GS15,60,12.00%,12.60%,12.00%,13.10%,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS28,80,0.476,0.606,0.471,0.481,,,EfficientNetV2B0_GS28,80,11.60%,12.20%,11.70%,12.80%,,,,,,,,,,,,,,,,,,,,,
EfficientNetV2B0_GS29,100,0.496,0.569,0.492,0.498,,,EfficientNetV2B0_GS29,100,13.60%,8.50%,13.80%,14.50%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ratio (Normal/Dark),Test_Accuracy,Test_Precision,Test_Recall,Test_F1-score,,,ModelName,dark,level4_Accuracy,level4_Precision,level4_Recall,level4_F1-score,,,,,,,,,,,,,,,,,,,,,
,0,0.884,0.895,0.882,0.882,,,EfficientNetV2B0_GS6,0,0.884,0.895,0.882,0.882,,,,,,,,,,,,,,,,,,,,,
,20,0.885,0.895,0.884,0.884,,,EfficientNetV2B0_GS7,20,0.10%,0.00%,0.20%,0.20%,,,,,,,,,,,,,,,,,,,,,
,40,0.879,0.891,0.876,0.877,,,EfficientNetV2B0_GS26,40,-0.50%,-0.40%,-0.60%,-0.50%,,,,,,,,,,,,,,,,,,,,,
,60,0.877,0.889,0.874,0.874,,,EfficientNetV2B0_GS15,60,-0.70%,-0.60%,-0.80%,-0.80%,,,,,,,,,,,,,,,,,,,,,
,80,0.85,0.872,0.846,0.846,,,EfficientNetV2B0_GS28,80,-3.40%,-2.30%,-3.60%,-3.60%,,,,,,,,,,,,,,,,,,,,,
,100,0.75,0.784,0.744,0.739,,,EfficientNetV2B0_GS29,100,-13.40%,-11.10%,-13.80%,-14.30%,,,,,,,,,,,,,,,,,,,,,
