No,model,dataset,acc_val,acc,'airliner','bicycle','Border collie','cup','dining table','elephant','folding chair','golden retriever','military plane','minibus','Persian cat','school_bus','speedboat','tabby cat','yawl'
85,EfficientNetV2B0_1_10_0,ds_aug2,0.0,0.207,0.019,0.192,0.241,0.28,0.1,0.552,0.273,0.18,0.057,0.023,0.172,0.119,0.375,0.479,0.029
86,EfficientNetV2B0_1_10_0,ds_aug3,0.0,0.066,0.0,0.004,0.0,0.82,0.0,0.1,0.0,0.0,0.0,0.0,0.008,0.0,0.019,0.038,0.0
87,EfficientNetV2B0_1_10_0,ds_aug4,0.0,0.066,0.0,0.0,0.0,0.981,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0
88,EfficientNetV2B0_lr_10_0,,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,EfficientNetV2B0_lr_10_0,ds_aug1,0.0,0.507,0.103,0.452,0.709,0.406,0.483,0.801,0.369,0.464,0.272,0.544,0.644,0.67,0.51,0.686,0.483
90,EfficientNetV2B0_lr_10_0,test,0.0,0.803,0.693,0.816,0.847,0.812,0.812,0.87,0.665,0.835,0.69,0.797,0.831,0.889,0.816,0.736,0.946
91,EfficientNetV2B0_lr_10_0,ds_aug2,0.0,0.214,0.011,0.161,0.222,0.429,0.195,0.598,0.204,0.149,0.05,0.111,0.199,0.303,0.146,0.364,0.05
92,EfficientNetV2B0_lr_10_0,ds_aug3,0.0,0.065,0.0,0.0,0.0,0.885,0.0,0.034,0.035,0.0,0.0,0.0,0.0,0.004,0.004,0.008,0.0
93,EfficientNetV2B0_lr_10_0,ds_aug4,0.0,0.069,0.0,0.0,0.0,0.989,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,ResNet50_10_0,,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,ResNet50_10_0,ds_aug1,0.82,0.394,0.054,0.253,0.433,0.18,0.556,0.464,0.423,0.475,0.146,0.533,0.556,0.529,0.207,0.877,0.207
96,ResNet50_10_0,test,0.82,0.82,0.774,0.843,0.843,0.828,0.812,0.874,0.696,0.851,0.716,0.805,0.828,0.908,0.812,0.801,0.917
97,ResNet50_10_0,ds_aug2,0.82,0.162,0.0,0.011,0.08,0.111,0.609,0.149,0.365,0.107,0.019,0.1,0.241,0.107,0.027,0.487,0.004
98,ResNet50_10_0,ds_aug3,0.82,0.065,0.0,0.0,0.0,0.222,0.559,0.0,0.185,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
99,ResNet50_10_0,ds_aug4,0.82,0.075,0.0,0.0,0.0,0.314,0.594,0.0,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,ResNet50_10_0,ds_aug1,0.0,0.356,0.073,0.299,0.548,0.215,0.307,0.33,0.296,0.345,0.165,0.421,0.471,0.521,0.241,0.893,0.207
101,ResNet50_10_0,test,0.0,0.812,0.759,0.847,0.881,0.812,0.705,0.854,0.696,0.808,0.697,0.854,0.797,0.866,0.877,0.835,0.901
102,ResNet50_10_0,ds_aug2,0.0,0.14,0.0,0.019,0.142,0.111,0.395,0.061,0.123,0.065,0.011,0.077,0.33,0.077,0.031,0.651,0.0
103,ResNet50_10_0,ds_aug3,0.0,0.066,0.0,0.0,0.0,0.533,0.406,0.0,0.004,0.0,0.0,0.0,0.011,0.0,0.0,0.031,0.0
104,ResNet50_10_0,ds_aug4,0.0,0.07,0.0,0.0,0.0,0.743,0.303,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
